userid,orderType
100000000371.0,0.0006321881
100000001215.0,0.00032209762
100000001445.0,0.00030164153
100000001575.0,0.9980236
100000001601.0,0.001006241
100000001737.0,0.9997973
100000001829.0,0.0017299124
100000002055.0,0.0009785402
100000002241.0,0.001270065
100000003067.0,6.0225368e-05
100000004161.0,0.9997942
100000004307.0,0.00016083388
100000004855.0,0.99833006
100000005055.0,0.00010462845
100000005701.0,0.006967651
100000006247.0,0.0001725528
100000006327.0,0.04113947
100000006333.0,0.002676849
100000006397.0,0.00075224985
100000007397.0,0.7992331
100000007525.0,0.899448
100000007951.0,0.05245863
100000007955.0,0.021299407
100000008131.0,0.000141659
100000008427.0,0.014553006
100000008745.0,0.00048623316
100000009049.0,0.0015086835
100000009197.0,0.29670835
100000009419.0,0.025381772
100000009629.0,0.00027113446
100000009961.0,0.9978022
100000010157.0,0.9918018
100000011403.0,5.9293696e-05
100000012993.0,0.008678574
100000013089.0,0.9946861
100000013205.0,0.0029467286
100000013455.0,0.0021907391
100000013591.0,0.01955684
100000013861.0,0.00053333817
100000014191.0,0.37597957
100000014963.0,0.008088755
100000015053.0,5.90559e-05
100000015077.0,0.9997651
100000015351.0,0.9094359
100000015659.0,0.99976176
100000016411.0,0.00030654922
100000016637.0,9.4324e-05
100000016665.0,0.0002494743
100000016715.0,0.093309775
100000016843.0,0.0047605126
100000017191.0,0.020915741
100000017255.0,0.00023940252
100000017517.0,0.0015157668
100000017533.0,0.009381652
100000018131.0,0.98456395
100000018141.0,0.01645969
100000018219.0,0.0010805355
100000018439.0,0.028487701
100000018651.0,0.003132426
100000018843.0,0.17782614
100000019085.0,0.011562366
100000019503.0,0.0073591736
100000019777.0,0.0016929591
100000019831.0,0.010948273
100000019875.0,0.24323139
100000020599.0,0.0030931013
100000020705.0,0.16718197
100000020839.0,0.016771598
100000021007.0,0.0012914219
100000021741.0,0.0023200745
100000023031.0,0.0723123
100000023341.0,0.00037489567
100000023847.0,0.0006018884
110020671228.0,0.996899
110100014968.0,0.0034259814
110100016420.0,0.13907023
110100016422.0,0.00010787424
110100018261.0,0.058085006
110100035666.0,0.01612069
110100073025.0,0.010197126
110100073927.0,0.9995745
110100116029.0,9.220854e-05
110100133766.0,0.003538925
110100171523.0,0.010453902
110100173226.0,0.28079796
110100218469.0,0.015788555
110100235669.0,0.0032336093
110100316927.0,0.0025116224
110100335267.0,0.00017787602
110100371520.0,0.009290392
110100373224.0,6.5999366e-06
110100412425.0,0.00031060903
110100418260.0,9.936466e-05
110100418567.0,0.97231674
110100471522.0,0.00046054093
110100471527.0,0.008656269
110100473324.0,0.01190473
110100512827.0,0.0050058817
110100514267.0,0.0036597247
110100516521.0,0.00018014236
110100516723.0,0.00063851406
110100516929.0,0.9999746
110100535662.0,0.19919422
110100573222.0,0.8494152
110100573627.0,0.00022923203
110100614362.0,0.0038929696
110100614562.0,0.9998074
110100618862.0,0.00036621056
110100635761.0,0.0048206956
110100673622.0,0.7150734
110100673828.0,0.0044980147
110100735369.0,0.3436083
110100816922.0,0.0029103414
110100818367.0,0.5062063
110100835466.0,0.009752015
110100835868.0,0.028061857
110100871522.0,0.6611898
110100873722.0,0.24683382
110100933760.0,0.8758196
110100973525.0,0.0049920254
110101018063.0,0.011799907
110101018362.0,0.0008617948
110101035263.0,0.00078545633
110101071220.0,0.011888397
110101071222.0,0.007939219
110101071527.0,0.0015247843
110101073025.0,0.0040380945
110101073225.0,0.67096007
110101073822.0,1.1223586e-05
110101112320.0,0.006225932
110101114064.0,0.3577851
110101114660.0,0.38121516
110101118361.0,0.00019811714
110101135467.0,0.0010480513
110101173725.0,0.0076742615
110101210069.0,0.6476353
110101212223.0,0.0003283397
110101215122.0,0.31335926
110101216420.0,0.008592895
110101216527.0,0.76575154
110101216821.0,0.00052534917
110101217027.0,0.99959415
110101217820.0,0.0034875995
110101217824.0,0.9989164
110101218861.0,0.999566
110101233064.0,0.7275999
110101273629.0,0.019980133
110101273724.0,0.00051103777
110101273826.0,0.0009764057
110101273925.0,0.10840402
110101312122.0,0.3313719
110101314164.0,0.01121911
110101316227.0,0.075030334
110101316624.0,0.9969867
110101335164.0,0.012859692
110101335961.0,0.0012220303
110101373120.0,0.012838565
110101373626.0,0.0016537516
110101410927.0,0.9982838
110101416523.0,0.9718146
110101416629.0,0.1313242
110101418269.0,0.94688517
110101418763.0,0.0011677564
110101433762.0,0.05907048
110101435165.0,0.00039720233
110101435360.0,0.008851294
110101435465.0,0.0013565103
110101471226.0,0.08977965
110101473623.0,0.02457739
110101512925.0,0.4185207
110101516227.0,0.015330392
110101516323.0,0.00024706652
110101518360.0,0.0005803591
110101518560.0,0.5140704
110101535968.0,0.012601943
110101610427.0,0.023400867
110101610625.0,0.0010498671
110101610760.0,0.31023633
110101610768.0,0.7387808
110101612027.0,0.000112901645
110101612064.0,0.036204543
110101615728.0,0.0013516189
110101615828.0,0.0037191792
110101615925.0,0.00028128346
110101616227.0,0.005443306
110101616427.0,0.0044289688
110101616628.0,0.0043404363
110101616762.0,0.00055689353
110101616863.0,0.0015760486
110101616867.0,0.00087788806
110101616966.0,2.6810287e-05
110101617522.0,0.0033263252
110101618860.0,0.073738515
110101618964.0,0.63435686
110101618967.0,8.954979e-05
110101673221.0,0.69438994
110101673423.0,0.018143922
110101712427.0,0.00065588823
110101712621.0,0.014297658
110101712622.0,0.0035386055
110101714266.0,0.0032028183
110101714568.0,0.022600506
110101716420.0,0.04070013
110101718064.0,0.024905786
110101718461.0,0.027717058
110101735567.0,4.640832e-05
110101771028.0,0.000116799885
110101773127.0,0.03575745
110101773722.0,0.0055611366
110101773820.0,0.0003170626
110101810162.0,0.00095681706
110101810364.0,0.9995524
110101810367.0,0.99207675
110101814963.0,0.11241147
110101816628.0,0.016665079
110101816826.0,9.695376e-05
110101816829.0,0.99741036
110101818963.0,0.9603569
110101833764.0,0.17965047
110101871022.0,4.4215918e-05
110101871223.0,0.028212031
110101873420.0,0.056354813
110101912122.0,0.0056297258
110101912224.0,0.01586834
110101914166.0,0.0029583783
110101914465.0,0.13165243
110101914466.0,0.0017408145
110101916529.0,0.00046249756
110101916922.0,0.0026130218
110101935966.0,0.00027359359
110101973722.0,0.008761682
110102012425.0,0.27380624
110102012824.0,6.281338e-05
110102012825.0,0.00010512719
110102016124.0,0.0020133732
110102016220.0,0.5569226
110102033767.0,0.7786875
110102035860.0,0.0013277706
