,userid,orderType
0,100000000371.0,0.003022959591763616
1,100000001215.0,0.002104474678787079
2,100000001445.0,0.006635559818013248
3,100000001575.0,0.9954450947140302
4,100000001601.0,0.002092971036661125
5,100000001737.0,0.9994679230368971
6,100000001829.0,0.0035192626636662613
7,100000002055.0,0.003959691864090919
8,100000002241.0,0.006997757676416992
9,100000003067.0,0.0007989599755051971
10,100000004161.0,0.9984142059612721
11,100000004307.0,0.0014744499508427802
12,100000004855.0,0.9966179952207259
13,100000005055.0,0.004795491924907457
14,100000005701.0,0.007378552062540459
15,100000006247.0,0.0027339117546613307
16,100000006327.0,0.030325283030004518
17,100000006333.0,0.004527561385698246
18,100000006397.0,0.009520044112139001
19,100000007397.0,0.47094624348000114
20,100000007525.0,0.618103543763669
21,100000007951.0,0.05152444697274859
22,100000007955.0,0.06469936569848674
23,100000008131.0,0.0005045318004902364
24,100000008427.0,0.01006179961502082
25,100000008745.0,0.000237689961909497
26,100000009049.0,0.009755353329826376
27,100000009197.0,0.34087797460596453
28,100000009419.0,0.04835197586018405
29,100000009629.0,0.0007406674620037882
30,100000009961.0,0.9619724248153845
31,100000010157.0,0.9425665165086055
32,100000011403.0,0.0003801452993108727
33,100000012993.0,0.03043684033759837
34,100000013089.0,0.9875120456513519
35,100000013205.0,0.008423113235506402
36,100000013455.0,0.002905696368884702
37,100000013591.0,0.04476624926820131
38,100000013861.0,0.0031017605801043364
39,100000014191.0,0.20043852081161698
40,100000014963.0,0.029128243079040744
41,100000015053.0,0.0006124485711119483
42,100000015077.0,0.999866924374101
43,100000015351.0,0.7857067737379703
44,100000015659.0,0.9990343680040258
45,100000016411.0,0.0025981629849616207
46,100000016637.0,0.0002823036041965528
47,100000016665.0,0.0006876799414873893
48,100000016715.0,0.11965328075312022
49,100000016843.0,0.011702972989312544
50,100000017191.0,0.027825002646213362
51,100000017255.0,0.0008905714810505199
52,100000017517.0,0.004878923795057155
53,100000017533.0,0.012290507115046255
54,100000018131.0,0.963657932970906
55,100000018141.0,0.07769774568318884
56,100000018219.0,0.0043765106723959845
57,100000018439.0,0.025796005821978406
58,100000018651.0,0.004536178632552116
59,100000018843.0,0.04872081605605337
60,100000019085.0,0.01657309815038237
61,100000019503.0,0.016720599493474517
62,100000019777.0,0.0063092223996812705
63,100000019831.0,0.018003061159777112
64,100000019875.0,0.4069539537114358
65,100000020599.0,0.10877414786383964
66,100000020705.0,0.3158124252119415
67,100000020839.0,0.01564568970547972
68,100000021007.0,0.015175717633866243
69,100000021741.0,0.009236594768341967
70,100000023031.0,0.07989560689939494
71,100000023341.0,0.005236171593569694
